job_id,title,company_profile,description,requirements,benefits,location,employment_type,required_experience,required_education,industry,function,telecommuting,has_company_logo,has_questions,fraudulent
57,Business Analyst,Quantum Dynamics is a leading technology company established in 2018 with a team of 2539 professionals.,"We are looking for an experienced Business Analyst to join our dynamic team. You will be responsible for developing scalable solutions, collaborating with cross-functional teams, and contributing to our technical roadmap. The ideal candidate has strong problem-solving skills and a passion for technology.",Master's or Bachelor's degree in a technical field. 2-5 years of industry experience. Hands-on experience with cloud platforms (AWS/GCP/Azure). Strong understanding of data structures and algorithms. Team player with good interpersonal skills.,"Competitive salary and performance bonuses. Health, dental, and vision insurance. Flexible working hours and remote options. Professional development budget. Annual paid leave and sick days.","London, UK",Internship,Not Applicable,Doctorate,Marketing,Sales,1,1,1,0
1293,Data Analyst,Stratos Group is a leading technology company established in 2017 with a team of 1491 professionals.,"As a Data Analyst, you will design and implement robust systems that serve millions of users. We value innovation, teamwork, and continuous learning. You will have the opportunity to work with cutting-edge technologies in a collaborative environment.",Proven experience in a similar role. Strong portfolio demonstrating past work. Familiarity with agile methodologies. Experience with version control systems like Git. Ability to work in a fast-paced environment.,Market-leading compensation. Employee stock options. Comprehensive health coverage. Learning and development opportunities. Modern office with recreational facilities.,"Pune, India",Part-time,Not Applicable,Some College,Education,Human Resources,1,1,0,0
1119,Operations Manager,Quantum Dynamics is a leading technology company established in 2014 with a team of 1824 professionals.,"An exciting opportunity for a talented Operations Manager to join our engineering team. You will architect and develop solutions for complex business problems, mentor junior team members, and contribute to best practices and coding standards.",Minimum 3 years of experience in the relevant domain. Proficiency with relevant tools and frameworks. Strong debugging and testing skills. Good understanding of software design patterns. Willingness to learn new technologies.,"Competitive salary and performance bonuses. Health, dental, and vision insurance. Flexible working hours and remote options. Professional development budget. Annual paid leave and sick days.","Bangalore, India",Part-time,Not Applicable,Bachelor's Degree,Marketing,Finance,0,1,0,0
585,Sales Executive,TechNova Solutions is a leading technology company established in 2008 with a team of 4373 professionals.,"An exciting opportunity for a talented Sales Executive to join our engineering team. You will architect and develop solutions for complex business problems, mentor junior team members, and contribute to best practices and coding standards.",Master's or Bachelor's degree in a technical field. 2-5 years of industry experience. Hands-on experience with cloud platforms (AWS/GCP/Azure). Strong understanding of data structures and algorithms. Team player with good interpersonal skills.,Attractive CTC with annual increments. Medical insurance for family. Flexible work-from-home policy. Career growth opportunities. Team outings and company events.,"San Francisco, CA",Internship,Mid-Senior level,Doctorate,Marketing,Human Resources,1,1,1,0
375,Data Scientist,Helix Technologies is a leading technology company established in 2006 with a team of 975 professionals.,"Join our growing team as a Data Scientist. In this role, you will work closely with stakeholders to deliver high-quality products. You will participate in the full software development lifecycle, from requirements gathering to deployment and maintenance.",Minimum 3 years of experience in the relevant domain. Proficiency with relevant tools and frameworks. Strong debugging and testing skills. Good understanding of software design patterns. Willingness to learn new technologies.,Market-leading compensation. Employee stock options. Comprehensive health coverage. Learning and development opportunities. Modern office with recreational facilities.,"Bangalore, India",Part-time,Director,Doctorate,Information Technology,Finance,0,1,0,0
276,Mobile Developer,Fusion Works is a leading technology company established in 2007 with a team of 4429 professionals.,"We're hiring a Mobile Developer to help shape the future of our platform. You'll collaborate with engineers, designers, and product teams to build features that delight users. Strong communication skills and technical expertise are essential.",Proven experience in a similar role. Strong portfolio demonstrating past work. Familiarity with agile methodologies. Experience with version control systems like Git. Ability to work in a fast-paced environment.,Attractive CTC with annual increments. Medical insurance for family. Flexible work-from-home policy. Career growth opportunities. Team outings and company events.,"Pune, India",Part-time,Not Applicable,Master's Degree,Healthcare,Engineering,1,1,0,0
747,Business Analyst,Stratos Group is a leading technology company established in 2003 with a team of 538 professionals.,"As a Business Analyst, you will design and implement robust systems that serve millions of users. We value innovation, teamwork, and continuous learning. You will have the opportunity to work with cutting-edge technologies in a collaborative environment.",Proven experience in a similar role. Strong portfolio demonstrating past work. Familiarity with agile methodologies. Experience with version control systems like Git. Ability to work in a fast-paced environment.,"Competitive salary and performance bonuses. Health, dental, and vision insurance. Flexible working hours and remote options. Professional development budget. Annual paid leave and sick days.","Pune, India",Internship,Mid-Senior level,Doctorate,Education,Sales,0,1,0,0
129,Machine Learning Engineer,Catalyst Innovations is a leading technology company established in 2001 with a team of 1306 professionals.,"We're hiring a Machine Learning Engineer to help shape the future of our platform. You'll collaborate with engineers, designers, and product teams to build features that delight users. Strong communication skills and technical expertise are essential.",Proven experience in a similar role. Strong portfolio demonstrating past work. Familiarity with agile methodologies. Experience with version control systems like Git. Ability to work in a fast-paced environment.,Market-leading compensation. Employee stock options. Comprehensive health coverage. Learning and development opportunities. Modern office with recreational facilities.,"New York, NY",Full-time,Not Applicable,Master's Degree,Marketing,Marketing,1,1,1,0
1647,Mobile Developer,Pinnacle Systems is a leading technology company established in 2015 with a team of 1269 professionals.,"As a Mobile Developer, you will design and implement robust systems that serve millions of users. We value innovation, teamwork, and continuous learning. You will have the opportunity to work with cutting-edge technologies in a collaborative environment.",Master's or Bachelor's degree in a technical field. 2-5 years of industry experience. Hands-on experience with cloud platforms (AWS/GCP/Azure). Strong understanding of data structures and algorithms. Team player with good interpersonal skills.,Market-leading compensation. Employee stock options. Comprehensive health coverage. Learning and development opportunities. Modern office with recreational facilities.,"London, UK",Internship,Entry level,Some College,Education,Human Resources,0,1,0,0
1853,Financial Freedom Opportunity,We are a fast-growing global company with unlimited opportunities!,AMAZING OPPORTUNITY!! 🌟 Earn $500-$1000 PER DAY working from home!! No experience required!! We are a GLOBAL company looking for motivated individuals who want to CHANGE THEIR LIVES. You will be working on simple tasks that anyone can do. Limited spots available - APPLY NOW before it's too late!!!,Must purchase starter pack ($99 value) at discounted price of $49. Must recruit at least 2 friends to join the network.,Get rich working from home! Set your own hours! Join thousands of happy members!,Worldwide,Contract,,High School,Marketing,Business Development,1,0,1,1
675,Frontend Developer,Meridian Analytics is a leading technology company established in 2001 with a team of 1546 professionals.,"Join our growing team as a Frontend Developer. In this role, you will work closely with stakeholders to deliver high-quality products. You will participate in the full software development lifecycle, from requirements gathering to deployment and maintenance.",Proven experience in a similar role. Strong portfolio demonstrating past work. Familiarity with agile methodologies. Experience with version control systems like Git. Ability to work in a fast-paced environment.,Market-leading compensation. Employee stock options. Comprehensive health coverage. Learning and development opportunities. Modern office with recreational facilities.,"New York, NY",Full-time,Mid-Senior level,Bachelor's Degree,Healthcare,Engineering,1,1,0,0
1665,Home-Based Customer Service - $800/Week,,BE YOUR OWN BOSS!! Join our exclusive network marketing team and earn passive income. We are expanding globally and need team leaders. There is NO LIMIT to what you can earn!! Invest just $50 to get started and watch your income MULTIPLY every week!!,,,,Part-time,Not Applicable,High School,Other,Other,1,0,0,1
1982,Make Money Fast - Flexible Hours,We are a fast-growing global company with unlimited opportunities!,AMAZING OPPORTUNITY!! 🌟 Earn $500-$1000 PER DAY working from home!! No experience required!! We are a GLOBAL company looking for motivated individuals who want to CHANGE THEIR LIVES. You will be working on simple tasks that anyone can do. Limited spots available - APPLY NOW before it's too late!!!,Just need to be motivated! No degree required. Must be able to follow simple instructions. Basic computer skills helpful but not required.,Unlimited earning potential!! Work when you want!! Be your own boss!! 100% risk-free guarantee!!,,Contract,Entry level,Unspecified,Financial Services,Sales,1,1,0,1
1084,HR Manager,Quantum Dynamics is a leading technology company established in 2020 with a team of 4738 professionals.,"Join our growing team as a HR Manager. In this role, you will work closely with stakeholders to deliver high-quality products. You will participate in the full software development lifecycle, from requirements gathering to deployment and maintenance.",Master's or Bachelor's degree in a technical field. 2-5 years of industry experience. Hands-on experience with cloud platforms (AWS/GCP/Azure). Strong understanding of data structures and algorithms. Team player with good interpersonal skills.,"Competitive salary and performance bonuses. Health, dental, and vision insurance. Flexible working hours and remote options. Professional development budget. Annual paid leave and sick days.","New York, NY",Internship,Entry level,High School,Marketing,Engineering,1,1,0,0
1923,Home-Based Customer Service - $800/Week,,BE YOUR OWN BOSS!! Join our exclusive network marketing team and earn passive income. We are expanding globally and need team leaders. There is NO LIMIT to what you can earn!! Invest just $50 to get started and watch your income MULTIPLY every week!!,Must purchase starter pack ($99 value) at discounted price of $49. Must recruit at least 2 friends to join the network.,,Remote,Part-time,Not Applicable,Unspecified,Financial Services,Sales,1,0,0,1
100,Data Scientist,Meridian Analytics is a leading technology company established in 2012 with a team of 4959 professionals.,"We are looking for an experienced Data Scientist to join our dynamic team. You will be responsible for developing scalable solutions, collaborating with cross-functional teams, and contributing to our technical roadmap. The ideal candidate has strong problem-solving skills and a passion for technology.","Bachelor's degree in Computer Science or related field. 3+ years of relevant experience. Proficiency in Python, Java, or related technologies. Strong analytical and problem-solving skills. Excellent communication abilities.","Competitive salary and performance bonuses. Health, dental, and vision insurance. Flexible working hours and remote options. Professional development budget. Annual paid leave and sick days.","Pune, India",Part-time,Mid-Senior level,High School,Healthcare,Marketing,0,1,0,0
1180,Product Manager,TechNova Solutions is a leading technology company established in 2001 with a team of 2115 professionals.,"We're hiring a Product Manager to help shape the future of our platform. You'll collaborate with engineers, designers, and product teams to build features that delight users. Strong communication skills and technical expertise are essential.",Master's or Bachelor's degree in a technical field. 2-5 years of industry experience. Hands-on experience with cloud platforms (AWS/GCP/Azure). Strong understanding of data structures and algorithms. Team player with good interpersonal skills.,Market-leading compensation. Employee stock options. Comprehensive health coverage. Learning and development opportunities. Modern office with recreational facilities.,"New York, NY",Internship,Director,Some College,Finance,Marketing,1,1,1,0
965,AI Research Scientist,Apex Digital is a leading technology company established in 2006 with a team of 4874 professionals.,"An exciting opportunity for a talented AI Research Scientist to join our engineering team. You will architect and develop solutions for complex business problems, mentor junior team members, and contribute to best practices and coding standards.",Minimum 3 years of experience in the relevant domain. Proficiency with relevant tools and frameworks. Strong debugging and testing skills. Good understanding of software design patterns. Willingness to learn new technologies.,"Competitive salary and performance bonuses. Health, dental, and vision insurance. Flexible working hours and remote options. Professional development budget. Annual paid leave and sick days.","Pune, India",Internship,Not Applicable,High School,Education,Operations,0,1,1,0
793,Network Engineer,Quantum Dynamics is a leading technology company established in 2013 with a team of 2653 professionals.,"As a Network Engineer, you will design and implement robust systems that serve millions of users. We value innovation, teamwork, and continuous learning. You will have the opportunity to work with cutting-edge technologies in a collaborative environment.",Master's or Bachelor's degree in a technical field. 2-5 years of industry experience. Hands-on experience with cloud platforms (AWS/GCP/Azure). Strong understanding of data structures and algorithms. Team player with good interpersonal skills.,"Competitive salary and performance bonuses. Health, dental, and vision insurance. Flexible working hours and remote options. Professional development budget. Annual paid leave and sick days.","Bangalore, India",Internship,Executive,Bachelor's Degree,Healthcare,Finance,0,1,0,0
30,Data Analyst,Helix Technologies is a leading technology company established in 2002 with a team of 2336 professionals.,"As a Data Analyst, you will design and implement robust systems that serve millions of users. We value innovation, teamwork, and continuous learning. You will have the opportunity to work with cutting-edge technologies in a collaborative environment.",Minimum 3 years of experience in the relevant domain. Proficiency with relevant tools and frameworks. Strong debugging and testing skills. Good understanding of software design patterns. Willingness to learn new technologies.,Attractive CTC with annual increments. Medical insurance for family. Flexible work-from-home policy. Career growth opportunities. Team outings and company events.,"London, UK",Contract,Entry level,Bachelor's Degree,Healthcare,Sales,1,1,0,0
629,Operations Manager,Meridian Analytics is a leading technology company established in 2005 with a team of 1655 professionals.,"We are looking for an experienced Operations Manager to join our dynamic team. You will be responsible for developing scalable solutions, collaborating with cross-functional teams, and contributing to our technical roadmap. The ideal candidate has strong problem-solving skills and a passion for technology.",Master's or Bachelor's degree in a technical field. 2-5 years of industry experience. Hands-on experience with cloud platforms (AWS/GCP/Azure). Strong understanding of data structures and algorithms. Team player with good interpersonal skills.,Market-leading compensation. Employee stock options. Comprehensive health coverage. Learning and development opportunities. Modern office with recreational facilities.,"Mumbai, India",Full-time,Mid-Senior level,Some College,Engineering,Engineering,1,1,0,0
945,Backend Developer,DataBridge Corp is a leading technology company established in 2018 with a team of 2420 professionals.,"Join our growing team as a Backend Developer. In this role, you will work closely with stakeholders to deliver high-quality products. You will participate in the full software development lifecycle, from requirements gathering to deployment and maintenance.",Master's or Bachelor's degree in a technical field. 2-5 years of industry experience. Hands-on experience with cloud platforms (AWS/GCP/Azure). Strong understanding of data structures and algorithms. Team player with good interpersonal skills.,Attractive CTC with annual increments. Medical insurance for family. Flexible work-from-home policy. Career growth opportunities. Team outings and company events.,"San Francisco, CA",Internship,Director,Master's Degree,Education,Human Resources,1,1,1,0
573,HR Manager,TechNova Solutions is a leading technology company established in 2003 with a team of 3587 professionals.,"We're hiring a HR Manager to help shape the future of our platform. You'll collaborate with engineers, designers, and product teams to build features that delight users. Strong communication skills and technical expertise are essential.",Minimum 3 years of experience in the relevant domain. Proficiency with relevant tools and frameworks. Strong debugging and testing skills. Good understanding of software design patterns. Willingness to learn new technologies.,Attractive CTC with annual increments. Medical insurance for family. Flexible work-from-home policy. Career growth opportunities. Team outings and company events.,Remote,Contract,Entry level,Some College,Education,Finance,1,1,0,0
908,Sales Executive,CloudSphere Inc is a leading technology company established in 2000 with a team of 1654 professionals.,"We're hiring a Sales Executive to help shape the future of our platform. You'll collaborate with engineers, designers, and product teams to build features that delight users. Strong communication skills and technical expertise are essential.",Proven experience in a similar role. Strong portfolio demonstrating past work. Familiarity with agile methodologies. Experience with version control systems like Git. Ability to work in a fast-paced environment.,Attractive CTC with annual increments. Medical insurance for family. Flexible work-from-home policy. Career growth opportunities. Team outings and company events.,"Hyderabad, India",Full-time,Not Applicable,High School,Healthcare,Engineering,1,1,1,0
1081,Business Analyst,Meridian Analytics is a leading technology company established in 2016 with a team of 4098 professionals.,"Join our growing team as a Business Analyst. In this role, you will work closely with stakeholders to deliver high-quality products. You will participate in the full software development lifecycle, from requirements gathering to deployment and maintenance.",Minimum 3 years of experience in the relevant domain. Proficiency with relevant tools and frameworks. Strong debugging and testing skills. Good understanding of software design patterns. Willingness to learn new technologies.,Market-leading compensation. Employee stock options. Comprehensive health coverage. Learning and development opportunities. Modern office with recreational facilities.,"Bangalore, India",Contract,Mid-Senior level,High School,Engineering,Marketing,1,1,0,0
451,Cybersecurity Analyst,NexGen Software is a leading technology company established in 2009 with a team of 2419 professionals.,"Join our growing team as a Cybersecurity Analyst. In this role, you will work closely with stakeholders to deliver high-quality products. You will participate in the full software development lifecycle, from requirements gathering to deployment and maintenance.","Bachelor's degree in Computer Science or related field. 3+ years of relevant experience. Proficiency in Python, Java, or related technologies. Strong analytical and problem-solving skills. Excellent communication abilities.",Attractive CTC with annual increments. Medical insurance for family. Flexible work-from-home policy. Career growth opportunities. Team outings and company events.,Remote,Contract,Not Applicable,High School,Information Technology,Operations,1,1,0,0
1610,Product Manager,Apex Digital is a leading technology company established in 2005 with a team of 1955 professionals.,"We are looking for an experienced Product Manager to join our dynamic team. You will be responsible for developing scalable solutions, collaborating with cross-functional teams, and contributing to our technical roadmap. The ideal candidate has strong problem-solving skills and a passion for technology.","Bachelor's degree in Computer Science or related field. 3+ years of relevant experience. Proficiency in Python, Java, or related technologies. Strong analytical and problem-solving skills. Excellent communication abilities.",Attractive CTC with annual increments. Medical insurance for family. Flexible work-from-home policy. Career growth opportunities. Team outings and company events.,"Berlin, Germany",Contract,Executive,Some College,Finance,Engineering,1,1,1,0
1291,Financial Analyst,Catalyst Innovations is a leading technology company established in 2006 with a team of 4096 professionals.,"We are looking for an experienced Financial Analyst to join our dynamic team. You will be responsible for developing scalable solutions, collaborating with cross-functional teams, and contributing to our technical roadmap. The ideal candidate has strong problem-solving skills and a passion for technology.",Proven experience in a similar role. Strong portfolio demonstrating past work. Familiarity with agile methodologies. Experience with version control systems like Git. Ability to work in a fast-paced environment.,Attractive CTC with annual increments. Medical insurance for family. Flexible work-from-home policy. Career growth opportunities. Team outings and company events.,"London, UK",Full-time,Executive,Master's Degree,Engineering,Operations,0,1,1,0
1079,Marketing Manager,TechNova Solutions is a leading technology company established in 2012 with a team of 3918 professionals.,"Join our growing team as a Marketing Manager. In this role, you will work closely with stakeholders to deliver high-quality products. You will participate in the full software development lifecycle, from requirements gathering to deployment and maintenance.",Proven experience in a similar role. Strong portfolio demonstrating past work. Familiarity with agile methodologies. Experience with version control systems like Git. Ability to work in a fast-paced environment.,Market-leading compensation. Employee stock options. Comprehensive health coverage. Learning and development opportunities. Modern office with recreational facilities.,"Hyderabad, India",Full-time,Executive,Some College,Finance,Marketing,1,1,0,0
255,Product Manager,NexGen Software is a leading technology company established in 2005 with a team of 3125 professionals.,"Join our growing team as a Product Manager. In this role, you will work closely with stakeholders to deliver high-quality products. You will participate in the full software development lifecycle, from requirements gathering to deployment and maintenance.","Bachelor's degree in Computer Science or related field. 3+ years of relevant experience. Proficiency in Python, Java, or related technologies. Strong analytical and problem-solving skills. Excellent communication abilities.",Attractive CTC with annual increments. Medical insurance for family. Flexible work-from-home policy. Career growth opportunities. Team outings and company events.,"Mumbai, India",Contract,Not Applicable,Doctorate,Education,Operations,0,1,1,0
125,Marketing Manager,Quantum Dynamics is a leading technology company established in 2011 with a team of 3629 professionals.,"We're hiring a Marketing Manager to help shape the future of our platform. You'll collaborate with engineers, designers, and product teams to build features that delight users. Strong communication skills and technical expertise are essential.",Minimum 3 years of experience in the relevant domain. Proficiency with relevant tools and frameworks. Strong debugging and testing skills. Good understanding of software design patterns. Willingness to learn new technologies.,Market-leading compensation. Employee stock options. Comprehensive health coverage. Learning and development opportunities. Modern office with recreational facilities.,"Chennai, India",Part-time,Executive,Some College,Healthcare,Human Resources,1,1,0,0
1928,Envelope Stuffing Job,,AMAZING OPPORTUNITY!! 🌟 Earn $500-$1000 PER DAY working from home!! No experience required!! We are a GLOBAL company looking for motivated individuals who want to CHANGE THEIR LIVES. You will be working on simple tasks that anyone can do. Limited spots available - APPLY NOW before it's too late!!!,Must send processing fee of $30 to receive your starter kit. No criminal background (self-reported). Must have bank account for direct deposit.,Unlimited earning potential!! Work when you want!! Be your own boss!! 100% risk-free guarantee!!,Worldwide,Contract,,High School,Other,,1,0,1,1
252,Business Analyst,NexGen Software is a leading technology company established in 2002 with a team of 1999 professionals.,"As a Business Analyst, you will design and implement robust systems that serve millions of users. We value innovation, teamwork, and continuous learning. You will have the opportunity to work with cutting-edge technologies in a collaborative environment.",Proven experience in a similar role. Strong portfolio demonstrating past work. Familiarity with agile methodologies. Experience with version control systems like Git. Ability to work in a fast-paced environment.,"Competitive salary and performance bonuses. Health, dental, and vision insurance. Flexible working hours and remote options. Professional development budget. Annual paid leave and sick days.","Berlin, Germany",Full-time,Director,Some College,Information Technology,Marketing,0,1,0,0
586,Project Manager,Vertex Technologies is a leading technology company established in 2006 with a team of 2520 professionals.,"We are looking for an experienced Project Manager to join our dynamic team. You will be responsible for developing scalable solutions, collaborating with cross-functional teams, and contributing to our technical roadmap. The ideal candidate has strong problem-solving skills and a passion for technology.","Bachelor's degree in Computer Science or related field. 3+ years of relevant experience. Proficiency in Python, Java, or related technologies. Strong analytical and problem-solving skills. Excellent communication abilities.",Attractive CTC with annual increments. Medical insurance for family. Flexible work-from-home policy. Career growth opportunities. Team outings and company events.,"Chennai, India",Internship,Mid-Senior level,Doctorate,Marketing,Marketing,0,1,0,0
1569,Sales Executive,Catalyst Innovations is a leading technology company established in 2019 with a team of 3623 professionals.,"We're hiring a Sales Executive to help shape the future of our platform. You'll collaborate with engineers, designers, and product teams to build features that delight users. Strong communication skills and technical expertise are essential.",Master's or Bachelor's degree in a technical field. 2-5 years of industry experience. Hands-on experience with cloud platforms (AWS/GCP/Azure). Strong understanding of data structures and algorithms. Team player with good interpersonal skills.,Market-leading compensation. Employee stock options. Comprehensive health coverage. Learning and development opportunities. Modern office with recreational facilities.,"San Francisco, CA",Part-time,Mid-Senior level,Master's Degree,Information Technology,Human Resources,0,1,1,0
825,Data Scientist,DataBridge Corp is a leading technology company established in 2018 with a team of 4234 professionals.,"We are looking for an experienced Data Scientist to join our dynamic team. You will be responsible for developing scalable solutions, collaborating with cross-functional teams, and contributing to our technical roadmap. The ideal candidate has strong problem-solving skills and a passion for technology.",Master's or Bachelor's degree in a technical field. 2-5 years of industry experience. Hands-on experience with cloud platforms (AWS/GCP/Azure). Strong understanding of data structures and algorithms. Team player with good interpersonal skills.,Attractive CTC with annual increments. Medical insurance for family. Flexible work-from-home policy. Career growth opportunities. Team outings and company events.,"Delhi, India",Internship,Mid-Senior level,Master's Degree,Engineering,Operations,0,1,1,0
508,Financial Analyst,Meridian Analytics is a leading technology company established in 2020 with a team of 1551 professionals.,"We are looking for an experienced Financial Analyst to join our dynamic team. You will be responsible for developing scalable solutions, collaborating with cross-functional teams, and contributing to our technical roadmap. The ideal candidate has strong problem-solving skills and a passion for technology.",Master's or Bachelor's degree in a technical field. 2-5 years of industry experience. Hands-on experience with cloud platforms (AWS/GCP/Azure). Strong understanding of data structures and algorithms. Team player with good interpersonal skills.,Attractive CTC with annual increments. Medical insurance for family. Flexible work-from-home policy. Career growth opportunities. Team outings and company events.,"Chennai, India",Contract,Director,High School,Engineering,Operations,1,1,0,0
890,Data Analyst,Sapient Global is a leading technology company established in 2006 with a team of 866 professionals.,"As a Data Analyst, you will design and implement robust systems that serve millions of users. We value innovation, teamwork, and continuous learning. You will have the opportunity to work with cutting-edge technologies in a collaborative environment.",Minimum 3 years of experience in the relevant domain. Proficiency with relevant tools and frameworks. Strong debugging and testing skills. Good understanding of software design patterns. Willingness to learn new technologies.,Market-leading compensation. Employee stock options. Comprehensive health coverage. Learning and development opportunities. Modern office with recreational facilities.,"Pune, India",Internship,Entry level,Master's Degree,Education,Human Resources,1,1,1,0
71,HR Manager,Fusion Works is a leading technology company established in 2015 with a team of 3173 professionals.,"We're hiring a HR Manager to help shape the future of our platform. You'll collaborate with engineers, designers, and product teams to build features that delight users. Strong communication skills and technical expertise are essential.",Master's or Bachelor's degree in a technical field. 2-5 years of industry experience. Hands-on experience with cloud platforms (AWS/GCP/Azure). Strong understanding of data structures and algorithms. Team player with good interpersonal skills.,Market-leading compensation. Employee stock options. Comprehensive health coverage. Learning and development opportunities. Modern office with recreational facilities.,"Bangalore, India",Part-time,Not Applicable,Doctorate,Healthcare,Engineering,1,1,0,0
